Devices
1000
,,Plate force 1 - CoP,,
Frame,Sub Frame,Cx,Cy
,,mm,mm
27,3,-9.23757,-42.4059
27,4,-9.27035,-42.4621
27,5,-9.3261,-42.4134
27,6,-9.20674,-42.3536
27,7,-9.32294,-42.4389
27,8,-9.14876,-42.523
27,9,-9.29177,-42.5729
28,0,-9.17708,-42.3282
28,1,-9.21036,-42.6821
28,2,-9.3481,-42.2645
28,3,-9.15539,-42.3633
28,4,-9.18737,-42.516
28,5,-9.28332,-42.4007
28,6,-9.14536,-42.2833
28,7,-9.23797,-42.1798
28,8,-9.15295,-42.3266
28,9,-9.24351,-42.2841
29,0,-9.21804,-42.2301
29,1,-9.21458,-42.5078
29,2,-9.16629,-42.3294
29,3,-9.15735,-42.2721
29,4,-9.15809,-42.4228
29,5,-9.25673,-42.2983
29,6,-9.16634,-42.4853
29,7,-9.13049,-42.4453
29,8,-9.21632,-42.451
29,9,-9.15785,-42.3267
30,0,-9.25575,-42.4818
30,1,-9.14198,-42.3139
30,2,-9.23777,-42.3389
30,3,-9.22148,-42.3859
30,4,-9.29352,-42.4094
30,5,-9.17035,-42.3704
30,6,-9.2259,-42.235
30,7,-9.23949,-42.2569
30,8,-9.17495,-42.3408
30,9,-9.17537,-42.3151
31,0,-9.29581,-42.3348
31,1,-9.111,-42.5027
31,2,-9.15504,-42.3919
31,3,-9.22609,-42.3148
31,4,-9.21632,-42.1699
31,5,-9.11139,-42.3646
31,6,-9.22762,-42.2803
31,7,-9.15235,-42.4113
31,8,-9.25498,-42.23
31,9,-9.17403,-42.2388
32,0,-9.23489,-42.2165
32,1,-9.17066,-42.3533
32,2,-9.22035,-42.2618
32,3,-9.14814,-42.4069
32,4,-9.10701,-42.3129
32,5,-9.20251,-42.3558
32,6,-9.20023,-42.3273
32,7,-9.17331,-42.1622
32,8,-9.22685,-42.2001
32,9,-9.1449,-42.346
33,0,-9.10587,-42.289
33,1,-9.15834,-42.3597
33,2,-9.14015,-42.2651
33,3,-9.12467,-42.2298
33,4,-9.13475,-42.3679
33,5,-9.21442,-42.3342
33,6,-9.22609,-42.155
33,7,-9.14096,-42.1821
33,8,-9.20464,-42.2456
33,9,-9.25193,-42.2315
34,0,-9.17007,-42.2259
34,1,-9.26376,-42.234
34,2,-9.16868,-42.2761
34,3,-9.263,-42.1546
34,4,-9.24617,-42.3943
34,5,-9.15894,-42.2398
34,6,-9.22667,-42.3344
34,7,-9.17565,-42.2528
34,8,-9.20581,-42.3279
34,9,-9.12042,-42.1628
35,0,-9.19356,-42.2994
35,1,-9.15351,-42.2019
35,2,-9.18997,-42.2016
35,3,-9.18329,-42.203
35,4,-9.19855,-42.1583
35,5,-9.19666,-42.2879
35,6,-9.18289,-42.0667
35,7,-9.10741,-42.2339
35,8,-9.20259,-42.1973
35,9,-9.20892,-42.2746
36,0,-9.23202,-42.1417
36,1,-9.26639,-42.0639
36,2,-9.2817,-42.2043
36,3,-9.13353,-42.2266
