Devices
1000
,,Plate force 1 - CoP,,
Frame,Sub Frame,Cx,Cy
,,mm,mm
40,2,16.6283,-34.4077
40,3,16.3362,-34.4141
40,4,16.4914,-34.5202
40,5,16.5477,-34.3421
40,6,16.5049,-34.3468
40,7,16.631,-34.276
40,8,16.4678,-34.5482
40,9,16.5237,-34.6749
41,0,16.4952,-34.615
41,1,16.633,-34.5567
41,2,16.4632,-34.768
41,3,16.4306,-34.4913
41,4,16.5775,-34.6104
41,5,16.6559,-34.5774
41,6,16.7193,-34.6552
41,7,16.7243,-34.6633
41,8,16.6641,-34.7022
41,9,16.6625,-34.5738
42,0,16.8105,-34.7898
42,1,16.6835,-34.5827
42,2,16.6534,-34.4674
42,3,16.8372,-34.8525
42,4,16.7135,-34.4515
42,5,16.7745,-34.937
42,6,16.8167,-34.684
42,7,16.9276,-34.9249
42,8,16.7225,-34.6931
42,9,16.8329,-34.7007
43,0,16.8464,-35.0646
43,1,16.7562,-34.7174
43,2,16.9812,-34.9568
43,3,16.9867,-35.1065
43,4,16.924,-34.9305
43,5,16.9499,-34.6905
43,6,16.8285,-34.645
43,7,16.9757,-35.0578
43,8,16.8826,-35.0483
43,9,16.9438,-34.9322
44,0,16.8802,-34.9755
44,1,17.0278,-34.9371
44,2,16.9572,-34.9617
44,3,16.8965,-34.8657
44,4,17.0057,-35.0986
44,5,17.0005,-34.8983
44,6,17.0769,-34.8818
44,7,17.0745,-34.8935
44,8,17.038,-35.0775
44,9,17.0946,-34.8676
45,0,17.1238,-35.0876
45,1,17.0786,-34.7277
45,2,17.1253,-35.006
45,3,17.0507,-34.7399
45,4,17.1037,-35.4251
45,5,17.1132,-35.153
45,6,16.9511,-34.7435
45,7,17.1963,-35.2731
45,8,17.1119,-34.7029
45,9,17.0828,-34.9849
46,0,17.183,-35.0387
46,1,17.323,-35.1777
46,2,17.1919,-35.243
46,3,17.1969,-35.2982
46,4,17.0865,-35.2276
46,5,17.0608,-34.9878
46,6,17.2601,-35.0111
46,7,17.1294,-35.1422
46,8,17.2441,-35.1571
46,9,17.2343,-35.227
47,0,17.22,-34.9564
47,1,17.1979,-34.8569
47,2,17.2756,-35.1429
47,3,17.4186,-35.3282
47,4,17.307,-35.1637
47,5,17.2858,-35.32
47,6,17.3121,-35.1411
47,7,17.3704,-35.2562
47,8,17.3548,-35.4893
47,9,17.4711,-35.3071
48,0,17.3579,-35.2411
48,1,17.2128,-35.0365
48,2,17.377,-35.3693
48,3,17.3456,-35.2621
48,4,17.3941,-35.3464
48,5,17.4194,-35.3855
48,6,17.3785,-35.3971
48,7,17.3338,-35.2888
48,8,17.368,-35.3292
48,9,17.5088,-35.3275
49,0,17.4042,-35.2513
49,1,17.3787,-35.2909
49,2,17.5275,-35.3384
49,3,17.3636,-35.2341
49,4,17.375,-35.4493
49,5,17.5547,-35.419
49,6,17.5168,-35.0244
49,7,17.5221,-35.2633
49,8,17.5505,-35.3769
49,9,17.4314,-35.5107
50,0,17.6551,-35.4045
50,1,17.5203,-35.084
50,2,17.4688,-35.1299
50,3,17.6628,-35.2603
50,4,17.5833,-35.4658
50,5,17.5325,-35.2363
50,6,17.7105,-35.266
50,7,17.5686,-35.1528
50,8,17.6333,-35.2846
50,9,17.6359,-35.3688
51,0,17.6992,-35.1766
51,1,17.7411,-35.2643
51,2,17.6151,-35.2722
51,3,17.5486,-34.9942
51,4,17.5858,-35.2985
51,5,17.7448,-35.383
51,6,17.8019,-35.2302
51,7,17.5928,-35.267
51,8,17.6833,-35.3438
51,9,17.7629,-35.3602
52,0,17.7666,-35.4852
52,1,17.6767,-35.2627
52,2,17.8443,-35.3088
52,3,17.7226,-35.3625
52,4,17.7276,-35.1099
52,5,17.7055,-35.2162
52,6,17.7223,-35.4155
52,7,17.7276,-35.417
52,8,17.7097,-35.4223
52,9,17.7478,-35.2439
53,0,17.6755,-35.3288
53,1,17.8517,-35.3356
53,2,17.8195,-35.3879
