Devices
1000
,,Plate force 1 - CoP,,
Frame,Sub Frame,Cx,Cy
,,mm,mm
29,5,-0.523339,-33.3396
29,6,-0.525845,-33.1582
29,7,-0.522456,-33.2903
29,8,-0.556984,-33.2778
29,9,-0.511276,-33.19
30,0,-0.56289,-33.291
30,1,-0.538003,-33.1353
30,2,-0.451009,-33.3529
30,3,-0.297357,-33.3868
30,4,-0.483772,-33.317
30,5,-0.479679,-33.3981
30,6,-0.537742,-33.2405
30,7,-0.4852,-33.285
30,8,-0.356497,-33.2577
30,9,-0.502557,-33.3109
31,0,-0.488085,-33.3156
31,1,-0.316067,-33.2244
31,2,-0.354914,-33.2511
31,3,-0.371354,-33.2664
31,4,-0.441103,-33.2517
31,5,-0.432043,-33.0863
31,6,-0.352909,-33.3043
31,7,-0.294499,-33.2957
31,8,-0.383201,-33.1706
31,9,-0.331078,-33.2185
32,0,-0.443903,-33.1606
32,1,-0.320988,-33.3396
32,2,-0.241709,-33.3589
32,3,-0.404753,-33.202
32,4,-0.426421,-33.2558
32,5,-0.379484,-33.3024
32,6,-0.314814,-33.259
32,7,-0.371664,-33.4407
32,8,-0.49317,-33.0695
32,9,-0.350532,-33.1227
33,0,-0.305708,-33.1061
33,1,-0.312126,-33.2405
33,2,-0.292965,-33.4619
33,3,-0.362643,-33.2837
33,4,-0.307793,-33.2278
33,5,-0.273506,-33.3436
33,6,-0.299156,-33.3163
33,7,-0.344627,-33.2844
33,8,-0.324979,-33.1048
33,9,-0.304847,-33.2864
34,0,-0.297824,-33.146
34,1,-0.291277,-33.3256
34,2,-0.291809,-33.2
34,3,-0.298582,-33.2878
34,4,-0.340117,-32.9541
34,5,-0.282133,-33.158
34,6,-0.273539,-33.2611
34,7,-0.28661,-33.1201
34,8,-0.151461,-33.1407
34,9,-0.242952,-33.1166
35,0,-0.175714,-33.2078
35,1,-0.347975,-33.196
35,2,-0.253272,-33.0837
35,3,-0.136648,-33.349
35,4,-0.192634,-33.0869
35,5,-0.257275,-33.2005
35,6,-0.115507,-33.1534
35,7,-0.292264,-33.0985
35,8,-0.293674,-33.2339
35,9,-0.135676,-33.3695
36,0,-0.305968,-33.0341
36,1,-0.201335,-33.231
36,2,-0.159837,-33.2239
36,3,-0.103089,-33.0675
36,4,-0.18537,-32.9636
36,5,-0.363042,-33.1354
36,6,-0.216153,-32.9697
36,7,-0.157497,-33.0745
36,8,-0.204338,-33.3103
36,9,-0.19567,-33.1513
37,0,-0.154224,-33.2258
37,1,-0.170632,-33.2012
37,2,-0.178963,-33.1861
37,3,-0.290732,-33.1746
37,4,-0.149642,-33.3024
37,5,-0.107775,-33.1744
37,6,-0.0926075,-33.1808
37,7,-0.185071,-33.2583
37,8,-0.109878,-33.2006
37,9,-0.12267,-33.1435
38,0,-0.111036,-33.1367
38,1,-0.0927819,-33.1325
38,2,-0.228094,-33.1254
38,3,-0.184119,-33.1491
38,4,-0.17523,-33.1754
38,5,-0.181134,-33.1106
38,6,-0.16151,-33.0762
38,7,-0.120188,-32.9754
38,8,-0.199233,-32.9633
38,9,-0.132671,-32.8963
39,0,-0.201443,-33.045
39,1,-0.153661,-33.0907
39,2,-0.0987805,-32.9936
39,3,-0.0204989,-33.0575
39,4,-0.087232,-33.067
39,5,-0.223488,-33.046
39,6,-0.0649183,-33.1667
39,7,-0.11823,-33.0029
39,8,-0.229393,-33.0869
39,9,-0.158894,-32.9777
40,0,-0.10429,-33.0323
40,1,-0.128936,-33.1598
40,2,-0.162409,-33.1246
40,3,-0.133335,-32.8028
40,4,-0.120338,-33.0835
40,5,-0.0401641,-33.0988
40,6,-0.0772543,-33.094
40,7,-0.081941,-33.0057
40,8,-0.150879,-32.9326
40,9,-0.187816,-33.1066
41,0,-0.0576114,-33.1164
41,1,-0.160502,-33.0894
41,2,-0.0114356,-32.8206
41,3,-0.0694662,-32.8706
41,4,-0.0343179,-32.8133
41,5,0.062849,-33.0988
41,6,-0.111451,-32.9997
41,7,0.0394155,-32.9631
41,8,-0.0229178,-32.9964
41,9,0.0135467,-32.8847
42,0,-0.0290116,-33.0648
42,1,-0.18984,-32.9928
42,2,-0.0084455,-33.0196
42,3,-0.100903,-32.9636
42,4,-0.0995286,-32.9518
42,5,0.00503903,-33.005
42,6,-0.0936654,-32.9059
42,7,-0.0590527,-33.0117
42,8,0.000283251,-33.0229
42,9,0.0786854,-32.9873
43,0,-0.0819181,-33.0005
43,1,-0.0984418,-32.8212
43,2,0.0180846,-32.9397
43,3,0.073613,-32.8756
43,4,-0.0329588,-32.7433
43,5,-0.0393639,-32.9016
43,6,0.0154328,-32.9343
43,7,-0.100287,-32.9458
43,8,-0.053659,-32.6378
43,9,0.0466267,-32.9648
44,0,-0.0244725,-32.7808
44,1,-0.0713625,-32.9603
44,2,-0.0819361,-32.7569
44,3,0.121909,-32.8857
44,4,0.00315646,-32.85
44,5,0.0152064,-32.8653
44,6,0.0029372,-32.8101
44,7,0.00503459,-32.9864
44,8,0.0127687,-32.799
44,9,0.00559089,-32.9404
45,0,-0.089458,-32.6185
45,1,0.0403908,-32.8894
45,2,-0.0172917,-32.9809
45,3,0.0120068,-32.7286
45,4,0.0489795,-32.7454
45,5,-0.0911992,-32.7544
45,6,-0.0772281,-32.9169
45,7,0.0649339,-32.6604
45,8,-0.0603843,-32.7562
45,9,0.0821551,-32.9798
46,0,0.0428542,-32.7266
46,1,-0.0241351,-32.9066
46,2,0.00957545,-32.8031
46,3,0.00614194,-32.9519
46,4,-0.0119823,-32.6577
46,5,-0.00877489,-32.7862
46,6,-0.0630106,-32.799
46,7,-0.0861285,-32.6785
46,8,-0.05433,-32.5823
46,9,-0.0267682,-32.5813
47,0,0.0250449,-32.6529
47,1,0.0199607,-32.9072
47,2,0.0401972,-32.7054
47,3,-0.0507465,-32.4475
47,4,0.05269,-32.8711
47,5,0.115193,-32.6213
47,6,0.0258225,-32.6548
47,7,-0.040377,-32.7344
47,8,-0.0119868,-32.7533
47,9,0.0386125,-32.8815
48,0,0.10364,-32.7441
48,1,0.0699822,-32.6382
48,2,0.0598741,-32.7998
48,3,0.0727393,-32.6465
48,4,-0.0348486,-32.5562
48,5,0.0636274,-32.8146
48,6,0.0866637,-32.801
48,7,0.0878421,-32.7687
48,8,-0.0741749,-32.8102
48,9,0.0436087,-32.7209
49,0,0.0551158,-32.6223
49,1,0.076114,-32.7221
49,2,0.0833051,-32.6243
49,3,0.0487668,-32.6374
49,4,-0.0254554,-32.6793
49,5,0.182016,-32.8152
49,6,0.11917,-32.7251
49,7,0.116163,-32.7005
49,8,0.0401348,-32.814
49,9,0.128249,-32.6744
50,0,0.039392,-32.6987
50,1,0.0981906,-32.5135
50,2,0.299121,-32.6312
50,3,0.165513,-32.6644
50,4,0.054041,-32.6924
50,5,0.0692274,-32.6798
50,6,0.184825,-32.6444
50,7,0.169294,-32.6922
50,8,0.205598,-32.8473
50,9,0.0524093,-32.6017
51,0,0.193735,-32.6409
51,1,0.121774,-32.7801
51,2,0.0434086,-32.6727
51,3,0.178449,-32.6953
51,4,0.0767122,-32.5467
51,5,0.0700509,-32.6308
51,6,0.13144,-32.6432
51,7,0.214515,-32.5159
51,8,0.284537,-32.7533
51,9,0.121321,-32.9224
52,0,0.179838,-32.6805
52,1,0.107405,-32.5416
52,2,0.229177,-32.6311
52,3,0.199009,-32.659
52,4,0.237187,-32.7121
52,5,0.184326,-32.7327
52,6,0.192229,-32.4771
52,7,0.199555,-32.5513
52,8,0.142784,-32.9626
52,9,0.183474,-32.7429
53,0,0.243222,-32.6557
53,1,0.12032,-32.4894
53,2,0.160695,-32.273
53,3,0.261161,-32.813
53,4,0.150399,-32.6849
53,5,0.142731,-32.5727
53,6,0.0601616,-32.5044
53,7,0.250333,-32.598
53,8,0.237266,-32.6114
53,9,0.255546,-32.6461
54,0,0.169269,-32.5353
54,1,0.187796,-32.6491
54,2,0.0731907,-32.4978
54,3,0.223632,-32.6195
54,4,0.183007,-32.8368
54,5,0.210509,-32.6104
54,6,0.268297,-32.6835
54,7,0.138045,-32.6115
54,8,0.225992,-32.5042
54,9,0.199904,-32.3214
55,0,0.127215,-32.476
55,1,0.138766,-32.5553
55,2,0.199048,-32.6294
55,3,0.136476,-32.6209
55,4,0.227521,-32.6906
55,5,0.248822,-32.6631
55,6,0.186003,-32.7717
55,7,0.254574,-32.8161
55,8,0.296049,-32.6002
55,9,0.183529,-32.6355
56,0,0.150693,-32.801
56,1,0.19002,-32.7277
56,2,0.237502,-32.7786
56,3,0.116171,-32.6195
56,4,0.209223,-32.6541
56,5,0.127192,-32.5943
56,6,0.192381,-32.6947
56,7,0.327798,-32.8238
56,8,0.1865,-32.6105
56,9,0.324913,-32.7537
57,0,0.231262,-32.6378
57,1,0.153863,-32.7592
57,2,0.243384,-32.6335
57,3,0.0864064,-32.7323
57,4,0.241362,-32.731
57,5,0.161811,-32.7631
57,6,0.168508,-32.5343
57,7,0.231414,-32.6271
57,8,0.306098,-32.6196
57,9,0.166401,-32.636
58,0,0.255517,-32.6648
58,1,0.205084,-32.6229
58,2,0.302309,-32.6476
58,3,0.238476,-32.6729
58,4,0.181509,-32.5544
58,5,0.190086,-32.56
58,6,0.264888,-32.7976
58,7,0.253657,-32.4554
58,8,0.233318,-32.5741
58,9,0.256933,-32.5675
59,0,0.325875,-32.6141
59,1,0.265491,-32.5561
59,2,0.226016,-32.4915
59,3,0.18645,-32.6672
59,4,0.195461,-32.4773
59,5,0.339542,-32.5539
59,6,0.190403,-32.6594
59,7,0.280478,-32.6249
59,8,0.17413,-32.3251
59,9,0.184944,-32.5444
60,0,0.233264,-32.5596
60,1,0.267412,-32.6325
60,2,0.251245,-32.4453
60,3,0.145418,-32.5033
60,4,0.35773,-32.6029
60,5,0.154638,-32.5237
60,6,0.257377,-32.4901
60,7,0.294148,-32.5204
60,8,0.223913,-32.6785
60,9,0.18447,-32.4117
61,0,0.25895,-32.4693
61,1,0.266976,-32.6242
61,2,0.285868,-32.4405
61,3,0.306652,-32.5417
61,4,0.176403,-32.4457
61,5,0.247923,-32.544
61,6,0.289016,-32.4786
61,7,0.28959,-32.6535
61,8,0.308658,-32.4368
61,9,0.220358,-32.5099
62,0,0.115067,-32.3918
62,1,0.263338,-32.4604
62,2,0.289269,-32.4835
62,3,0.175406,-32.553
62,4,0.180467,-32.432
62,5,0.201984,-32.4918
62,6,0.301274,-32.5538
62,7,0.221008,-32.6154
62,8,0.196952,-32.5657
62,9,0.158961,-32.5402
63,0,0.176312,-32.4464
63,1,0.251173,-32.4926
63,2,0.248847,-32.3942
63,3,0.158218,-32.4928
63,4,0.268679,-32.4709
63,5,0.106016,-32.3557
63,6,0.321786,-32.5178
63,7,0.219846,-32.3867
63,8,0.180179,-32.4429
63,9,0.252749,-32.4912
64,0,0.238064,-32.4582
64,1,0.248297,-32.3528
64,2,0.121332,-32.4246
64,3,0.157202,-32.5123
64,4,0.238772,-32.3211
64,5,0.194968,-32.3331
64,6,0.254272,-32.3951
64,7,0.138685,-32.5491
64,8,0.182356,-32.4725
64,9,0.144144,-32.5669
65,0,0.242842,-32.3554
65,1,0.0789608,-32.5197
65,2,0.189664,-32.4713
65,3,0.0106939,-32.3665
65,4,0.191067,-32.5376
65,5,0.154362,-32.4082
65,6,0.198953,-32.3184
65,7,0.058391,-32.2623
65,8,0.16018,-32.4091
65,9,0.198786,-32.2713
66,0,0.166943,-32.3258
66,1,0.163498,-32.5291
66,2,-0.0281775,-32.3097
66,3,0.254515,-32.5381
66,4,0.117964,-32.5205
66,5,0.198837,-32.4989
66,6,0.187842,-32.188
66,7,0.132688,-32.4308
66,8,0.174943,-32.2656
66,9,0.0773121,-32.351
67,0,0.0602932,-32.2547
67,1,0.196837,-32.5457
67,2,0.0949258,-32.0996
67,3,0.224737,-32.477
67,4,0.194803,-32.3712
67,5,0.188161,-32.3155
67,6,0.1562,-32.2706
67,7,0.19889,-32.2573
67,8,0.200313,-32.3767
67,9,0.150564,-32.3417
68,0,0.119106,-32.2116
68,1,0.151742,-32.3533
68,2,0.148047,-32.3955
68,3,0.0864427,-32.6676
68,4,0.191062,-32.4457
68,5,0.119857,-32.2629
68,6,0.0909082,-32.2785
68,7,0.0797281,-32.2433
68,8,0.155142,-32.2129
68,9,0.176555,-32.4011
69,0,0.117865,-32.2307
69,1,0.157728,-32.2854
69,2,0.137236,-32.5059
69,3,0.216338,-32.3387
69,4,0.112426,-32.385
69,5,0.158139,-32.3854
69,6,0.11216,-32.3465
69,7,0.18301,-32.4021
69,8,0.128788,-32.2481
69,9,0.0972978,-32.488
70,0,0.219046,-32.3704
70,1,0.0620427,-32.4557
70,2,0.162844,-32.3172
70,3,0.0416083,-32.322
70,4,0.107836,-32.3755
70,5,0.0556461,-32.4384
70,6,0.179902,-32.3436
70,7,0.110514,-32.3939
70,8,0.122927,-32.2741
70,9,0.163386,-32.4058
71,0,0.161877,-32.4162
71,1,0.0442898,-32.3548
71,2,0.103054,-32.3667
71,3,0.0936952,-32.5271
71,4,0.19034,-32.4458
71,5,0.151653,-32.4152
71,6,0.147552,-32.2427
71,7,0.179771,-32.2924
71,8,0.182804,-32.3953
71,9,0.115762,-32.3451
72,0,0.206142,-32.436
72,1,0.10535,-32.4345
72,2,0.153631,-32.3273
72,3,0.213749,-32.4179
72,4,0.113904,-32.4161
72,5,0.0269282,-32.4073
72,6,0.150585,-32.3324
72,7,0.135644,-32.3559
72,8,0.183229,-32.4165
72,9,0.0537684,-32.3644
73,0,0.203265,-32.5394
73,1,0.186854,-32.3509
73,2,0.285303,-32.4455
73,3,0.060368,-32.2387
73,4,0.0965464,-32.2073
73,5,0.134124,-32.3863
73,6,0.154231,-32.4448
73,7,0.137019,-32.438
73,8,0.153448,-32.3631
73,9,0.200318,-32.3869
74,0,0.107757,-32.4347
74,1,0.141878,-32.5977
74,2,0.105897,-32.4871
74,3,0.186965,-32.2877
74,4,0.0773604,-32.4223
74,5,0.0805282,-32.1816
74,6,0.0897063,-32.43
74,7,0.0452161,-32.41
74,8,0.0492221,-32.2351
74,9,0.128656,-32.2293
75,0,0.074746,-32.2038
75,1,0.099469,-32.595
75,2,0.131349,-32.3113
75,3,0.108706,-32.5713
75,4,0.108643,-32.3871
75,5,0.120525,-32.5306
75,6,0.0942947,-32.2291
75,7,0.218477,-32.3519
75,8,0.0851869,-32.421
75,9,0.134221,-32.3433
76,0,0.10608,-32.4967
76,1,0.0814005,-32.4309
76,2,0.124913,-32.4498
76,3,0.132162,-32.4101
76,4,0.146537,-32.2638
76,5,0.0146554,-32.3642
76,6,0.177369,-32.5184
76,7,0.0970041,-32.6789
76,8,0.198136,-32.5117
76,9,0.0603928,-32.5907
77,0,0.0729221,-32.4817
77,1,0.084917,-32.4391
77,2,-0.00159204,-32.4592
77,3,0.0819441,-32.6059
77,4,0.104783,-32.4712
77,5,0.0837935,-32.6015
77,6,0.109685,-32.3429
77,7,0.025821,-32.5019
77,8,0.137114,-32.7077
77,9,0.0497914,-32.4761
78,0,0.0670832,-32.4302
78,1,0.111896,-32.6571
78,2,0.141711,-32.5083
78,3,0.0248062,-32.4779
78,4,-0.0193986,-32.433
78,5,0.10734,-32.578
78,6,0.118739,-32.2032
78,7,0.0878858,-32.3809
78,8,0.255883,-32.5373
