Devices
1000
,,Plate force 1 - Moment,,
Frame,Sub Frame,Mx,My
,,N.mm,N.mm
50,9,6280.12,527.595
51,0,6267.3,510.677
51,1,6291.8,510.084
51,2,6285.77,510.413
51,3,6266.56,493.088
51,4,6264.85,508.346
51,5,6277.1,502.884
51,6,6288.03,502.509
51,7,6284.26,526.845
51,8,6271.26,511.022
51,9,6286.52,528.503
52,0,6314.22,545.906
52,1,6291.98,519.051
52,2,6298.95,526.547
52,3,6272.77,508.19
52,4,6303.67,521.117
52,5,6295.57,530.35
52,6,6288.03,510.49
52,7,6301.22,518.597
52,8,6301.79,521.492
52,9,6292.93,518.487
53,0,6301.59,517.956
53,1,6295.95,537.017
53,2,6299.52,519.457
53,3,6318.56,536.798
53,4,6304.05,528.394
53,5,6312.34,533.479
53,6,6293.68,525.529
53,7,6314.78,519.881
53,8,6329.1,526.469
53,9,6330.04,518.519
54,0,6291.24,528.316
54,1,6321.38,545.656
54,2,6326.09,528.018
54,3,6332.87,517.469
54,4,6320.44,536.344
54,5,6316.3,526.891
54,6,6335.88,526.249
54,7,6324.2,533.292
54,8,6334.76,530.476
54,9,6334.57,540.147
55,0,6350.21,542.181
55,1,6350.97,537.064
55,2,6364.72,546.673
55,3,6349.83,533.183
55,4,6366.6,535.373
55,5,6367.53,543.574
55,6,6363.02,514.387
55,7,6354.93,544.185
55,8,6392.6,549.647
55,9,6364.34,542.494
56,0,6343.06,550.367
56,1,6387.51,553.871
56,2,6387.52,546.563
56,3,6369.05,549.005
56,4,6371.31,544.827
56,5,6389.59,535.185
56,6,6385.25,564.42
56,7,6382.43,549.724
56,8,6402.21,541.775
56,9,6409.94,552.589
57,0,6410.69,567.284
57,1,6399.2,554.592
57,2,6431.41,554.483
57,3,6420.48,559.49
57,4,6396.18,554.404
57,5,6420.49,574.263
57,6,6415.58,579.679
57,7,6422.18,569.288
57,8,6417.84,568.27
57,9,6423.31,572.715
58,0,6419.73,546.235
58,1,6428.78,570.492
58,2,6449.5,572.793
58,3,6452.14,574.938
58,4,6447.43,575.657
58,5,6414.65,559.756
58,6,6474.37,564.201
58,7,6455.35,579.648
58,8,6478.14,564.577
58,9,6448.76,567.143
59,0,6430.1,567.785
59,1,6494.53,575.657
59,2,6468.53,572.527
59,3,6495.29,570.195
59,4,6494.91,567.332
59,5,6499.05,582.089
59,6,6520.34,570.681
59,7,6495.66,588.052
59,8,6512.24,578.897
59,9,6505.08,579.46
60,0,6497.55,585.533
60,1,6524.67,597.582
60,2,6559.15,585.157
